Lab number,Site ID,Dated material,Normalized age*,Normalized error*,Assumed d13C,NB
DIC-1657,5GF110,unknown,520,55,-25,
DIC-1658,5GF110,unknown,580,55,-25,
M-285,5MF373,Zea mays cobs,645,75,-25,
UGA-3378,5RB804,charcoal,670,270,-25,
UGA-2003,5MF607,maize,680,60,-25,
UGA-2496,5RB817,wood,705,60,-25,
M-286,5MF379,Zea mays cobs,800,200,-25,
RL-1239,42SV-?,charcoal,870,30,-25,Error assumed to be sqrt of norm age
UGA-1379,5MN654,maize,905,65,-25,
UGA-3389,5RB748,charcoal,950,70,-25,
DIC-1662,5GF110,charcoal,1010,55,-25,
UGA-926,5MN367,charcoal,1045,60,-25,
W-4250,5RB699,charcoal,1120,50,-25,
W-4246,5RB726,charcoal,1150,50,-25,
UGA-1132,5MN517,charcoal,1190,355,-25,
DIC-1663,5GF110,charcoal,1210,50,-25,
UGA-1920,5RB699,charcoal,1225,85,-25,
RL-11,5MF1,basketry/cordage,1260,150,-25,
W-4249,5RB726,charcoal,1300,50,-25,
UGA-3379,5RB804,charcoal,1350,60,-25,
UGA-1375,5MN653,charcoal,1370,65,-25,
UGA-3387,5RB699?,unknown,1470,70,-25,